kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
poly,25.0,0.05,balanced,2,0.7774,0.8075,0.7649,0.7212,0.7774,0.7229,0.0373,0.1931,0.1925,0.2226,-0.0301,0.2951,0.6336,0.4024,0.7515,0.3106,0.4384,0.9,0.9598,0.9286,0.9769,0.8362,0.901,0.8797,0.9294,0.9038,0.5277,0.8431,0.6484,0.6831,0.83,0.7493,0.7552,0.8765,0.8111
rbf,10.0,0.001,balanced,2,0.7752,0.7786,0.7532,0.6646,0.7752,0.6799,0.0351,0.1873,0.2214,0.2248,-0.0034,0.2781,0.6802,0.3944,0.7637,0.3145,0.4447,0.67,1.0,0.8004,0.981,0.8851,0.9306,0.8669,0.8771,0.8719,0.3723,0.8313,0.5141,0.7291,0.7489,0.7388,0.6556,0.8645,0.7447
poly,5.0,0.1,balanced,2,0.7751,0.8011,0.761,0.7173,0.7751,0.7188,0.0378,0.1946,0.1989,0.2249,-0.0259,0.2936,0.6276,0.3999,0.7434,0.2986,0.4249,0.894,0.9598,0.9255,0.9802,0.8283,0.8978,0.8748,0.9287,0.9009,0.5219,0.8529,0.6467,0.6763,0.8333,0.7465,0.7537,0.8717,0.8081
rbf,50.0,0.1,,3,0.7746,0.8344,0.8492,0.8043,0.7746,0.7756,0.0267,0.1634,0.1656,0.2254,-0.0597,0.505,0.1508,0.2251,0.6784,0.6857,0.682,0.9066,0.9662,0.935,0.9671,0.9563,0.9617,0.9247,0.9593,0.9416,0.7852,0.7373,0.7583,0.7731,0.8672,0.8172,0.8946,0.8741,0.8837
rbf,50.0,0.1,,2,0.7746,0.8344,0.8492,0.8043,0.7746,0.7756,0.0267,0.1634,0.1656,0.2254,-0.0597,0.505,0.1508,0.2251,0.6784,0.6857,0.682,0.9066,0.9662,0.935,0.9671,0.9563,0.9617,0.9247,0.9593,0.9416,0.7852,0.7373,0.7583,0.7731,0.8672,0.8172,0.8946,0.8741,0.8837
rbf,50.0,auto,,2,0.7746,0.8344,0.8492,0.8043,0.7746,0.7756,0.0267,0.1634,0.1656,0.2254,-0.0597,0.505,0.1508,0.2251,0.6784,0.6857,0.682,0.9066,0.9662,0.935,0.9671,0.9563,0.9617,0.9247,0.9593,0.9416,0.7852,0.7373,0.7583,0.7731,0.8672,0.8172,0.8946,0.8741,0.8837
rbf,100.0,auto,,2,0.7743,0.8523,0.8483,0.7959,0.7743,0.7762,0.0268,0.1635,0.1477,0.2257,-0.0781,0.4469,0.1791,0.2499,0.6786,0.6797,0.6791,0.9056,0.9526,0.9279,0.9659,0.9579,0.9619,0.9241,0.9569,0.9401,0.7742,0.7314,0.7492,0.7794,0.8624,0.8186,0.8925,0.8741,0.8827
rbf,0.1,scale,balanced,2,0.7743,0.7792,0.7504,0.6611,0.7743,0.6804,0.0342,0.1849,0.2208,0.2257,-0.0049,0.2728,0.6661,0.3859,0.705,0.3055,0.4232,0.6858,1.0,0.8115,0.9825,0.8788,0.9278,0.882,0.9086,0.895,0.3922,0.8372,0.5334,0.7156,0.7254,0.7204,0.6528,0.8729,0.7459
rbf,100.0,auto,,3,0.7743,0.8523,0.8483,0.7959,0.7743,0.7762,0.0268,0.1635,0.1477,0.2257,-0.0781,0.4469,0.1791,0.2499,0.6786,0.6797,0.6791,0.9056,0.9526,0.9279,0.9659,0.9579,0.9619,0.9241,0.9569,0.9401,0.7742,0.7314,0.7492,0.7794,0.8624,0.8186,0.8925,0.8741,0.8827
rbf,100.0,0.1,,3,0.7743,0.8523,0.8483,0.7959,0.7743,0.7762,0.0268,0.1635,0.1477,0.2257,-0.0781,0.4469,0.1791,0.2499,0.6786,0.6797,0.6791,0.9056,0.9526,0.9279,0.9659,0.9579,0.9619,0.9241,0.9569,0.9401,0.7742,0.7314,0.7492,0.7794,0.8624,0.8186,0.8925,0.8741,0.8827
